Campaign,Language,Target locations,Excluded locations,Ad schedule,Daily budget (QAR),Bid strategy,Rationale
ABK | Search | EN | B2B Wholesale & Dealers,English,Qatar; United Arab Emirates; Saudi Arabia; Kuwait; Bahrain; Oman,,Sat-Thu 09:00-23:00; Fri paused (store closed Friday),35,Maximize conversions,"English-speaking trade buyers across the GCC - detailing shops, car washes, body shops, tint and PPF fitters, and resellers who want to distribute the line. Kept separate from the B2C campaigns because this audience does its own application, so 'for detailers / for workshops / we supply, you fit' language is correct here, the geo is six countries rather than Qatar only, and the offer is a wholesale price list rather than a single-unit purchase."
ABK | Search | AR | B2B Wholesale & Dealers,Arabic,Qatar; United Arab Emirates; Saudi Arabia; Kuwait; Bahrain; Oman,,Sat-Thu 09:00-23:00; Fri paused (store closed Friday),15,Maximize conversions,"Arabic-searching trade buyers and would-be distributors across the same six GCC markets - Gulf nationals and Arab expatriates who run car washes, detailing shops and tint shops. Separate from the English campaign because the vocabulary is different rather than translated (بالجملة, مورد, موزع, مستلزمات مغاسل), competition is thinner and cheaper, and every asset needs its own RTL character budget and bidi proofing."
ABK | Search | EN | Autotriz Ceramic Coatings,English,Qatar,,Sat-Thu 09:30-13:30 and 15:30-22:30; Fri paused (store closed Friday),30,Maximize conversions,"English-language buyers of Autotriz coating PRODUCTS in Qatar: enthusiasts buying a bottle to apply themselves and detailers buying stock. Kept separate from the Arabic campaign so budget, bids and RSA assets are not shared across two very different auction landscapes."
ABK | Search | AR | Autotriz Ceramic Coatings,Arabic,Qatar,,Sat-Thu 09:30-13:30 and 15:30-22:30; Fri paused (store closed Friday),20,Maximize conversions,"Arabic-script demand from Qatari nationals and Arab expats, where competition is thinner and clicks are cheaper. Copy is written as native Gulf commercial Arabic, not a translation of the English ads, and brand tokens stay in Latin because no Arabic transliteration of Autotriz is in real use."
ABK | Search | EN | Interior & Fragrance,English,Qatar,,Sat-Thu 09:30-13:30 and 15:30-22:30; Fri paused (store closed Friday),25,Maximize conversions,"Lower-ticket interior chemicals plus ABK's own home fragrances, aimed at Qatar consumers and small detailers who buy product off the shelf. Kept separate from the PPF/tint/ceramic-paint campaigns because the ticket size, the buyer and the search vocabulary are all different, and because the fragrance buyer has no car-care intent at all."
ABK | Search | AR | Interior & Fragrance,Arabic,Qatar,,Sat-Thu 09:30-13:30 and 15:30-22:30; Fri paused (store closed Friday),15,Maximize conversions,"Arabic-language mirror for Qatari nationals and Arab expats, where competition is thinner and clicks are cheaper. The fragrance ad group is the strongest Arabic opportunity in the whole account because 'mashmoom' is a native Gulf word and ABK owns the brand."
ABK | Search | EN | Autotriz Compounds & Shampoo,English,Qatar,,Sat-Thu 09:30-13:30 and 15:30-22:30 Doha time; bid down 13:30-15:30 (shop shut); Friday paused (store closed Friday),30,Maximize conversions,"Targets the professional end of the market - detailers, body shops and car washes in Qatar who buy cut-and-finish compounds and bulk shampoo as repeat consumables, and search by cut stage or by SKU number. Kept separate from the retail protection themes because the intent is trade restocking, the copy leads on paint-correction workflow, and the negatives have to fight a completely different homonym set (compound = residential compound, polish = Poland, power cut = electricity outage)."
ABK | Search | AR | Autotriz Compounds & Shampoo,Arabic,Qatar,,Sat-Thu 09:30-13:30 and 15:30-22:30 Doha time; bid down 13:30-15:30 (shop shut); Friday paused (store closed Friday),15,Maximize conversions,"The same trade-consumable buyer reached in Arabic, where competition is thinner and clicks are cheaper: Qatari and Arab-expat body-shop and car-wash owners searching معجون تلميع, كمبوند and شامبو سيارات. Brand and SKU tokens stay in Latin script because there is no circulating Arabic transliteration of Autotriz, and every headline opens on an Arabic word so the RTL bidi run stays clean."
ABK | Search | EN | Vertek PPF & Window Tint,English,Qatar,,"Sat-Thu 09:30-13:30 and 15:30-22:30 (store hours 10:00-13:00 and 16:00-22:00, with a 30-minute buffer either side); Friday paused - store closed",45,Maximize conversions,"English demand for the two highest-ticket products ABK stocks: Vertek Weather Armor paint protection film and Vertek window film. It is isolated from every other theme because this is where service intent is most poisonous - someone searching window tinting in Qatar wants a workshop, and ABK is not one - so it needs its own negative wall, product-qualifier-only keywords, and copy that says out loud that the customer's own fitter applies the film."
ABK | Search | AR | Vertek PPF & Window Tint,Arabic,Qatar,,"Sat-Thu 09:30-13:30 and 15:30-22:30 (store hours 10:00-13:00 and 16:00-22:00, with a 30-minute buffer either side); Friday paused - store closed",20,Maximize conversions,"Arabic-script demand for the same two film lines, aimed at Qatari nationals and Arab expatriates. Competition is thinner and clicks are cheaper, so it runs on a smaller budget as a mirror rather than a translation: brand terms stay in Latin because nobody types Vertek in Arabic, and the tint negatives use different match types to survive Arabic phrase matching."
ABK | Search | EN | Briller Wash Care Chemicals,English,Qatar,,Sat-Thu 09:00-23:00; Fri paused (store closed Friday),30,Maximize conversions,"English-language buyers of consumable car-care chemicals in Qatar: drivers wanting a bottle and car washes, detailers and body shops wanting 20 L drums. Separate from the PPF/tint/ceramic themes because the products are low-ticket repeat consumables with their own vocabulary, far cheaper clicks and a Made-in-Canada claim that is true of Briller only."
ABK | Search | AR | Briller Wash Care Chemicals,Arabic,Qatar,,Sat-Thu 09:00-23:00; Fri paused (store closed Friday),15,Maximize conversions,"Arabic-searching Qatari nationals and Arab residents buying the same consumables, plus car-wash and workshop owners who search supply terms in Arabic. Kept separate because Arabic competition is thinner and cheaper, the vocabulary is colloquial (كفرات, طبلون) and every asset needs its own RTL character budget."
